Width,Height,ClassId
31,31,Max Speed 20 km/h
32,33,Max Speed 20 km/h
33,31,Max Speed 20 km/h
33,33,Max Speed 20 km/h
34,34,Max Speed 20 km/h
35,36,Max Speed 20 km/h
37,37,Max Speed 20 km/h
36,37,Max Speed 20 km/h
39,38,Max Speed 20 km/h
39,40,Max Speed 20 km/h
40,41,Max Speed 20 km/h
44,43,Max Speed 20 km/h
45,43,Max Speed 20 km/h
46,47,Max Speed 20 km/h
50,50,Max Speed 20 km/h
52,51,Max Speed 20 km/h
54,53,Max Speed 20 km/h
57,58,Max Speed 20 km/h
60,62,Max Speed 20 km/h
61,64,Max Speed 20 km/h
69,70,Max Speed 20 km/h
75,76,Max Speed 20 km/h
84,85,Max Speed 20 km/h
93,94,Max Speed 20 km/h
104,109,Max Speed 20 km/h
59,55,Max Speed 20 km/h
60,56,Max Speed 20 km/h
60,56,Max Speed 20 km/h
61,57,Max Speed 20 km/h
62,59,Max Speed 20 km/h
63,59,Max Speed 20 km/h
66,59,Max Speed 20 km/h
68,63,Max Speed 20 km/h
69,63,Max Speed 20 km/h
70,65,Max Speed 20 km/h
71,66,Max Speed 20 km/h
72,68,Max Speed 20 km/h
73,70,Max Speed 20 km/h
74,70,Max Speed 20 km/h
74,70,Max Speed 20 km/h
75,72,Max Speed 20 km/h
79,74,Max Speed 20 km/h
80,74,Max Speed 20 km/h
80,76,Max Speed 20 km/h
82,77,Max Speed 20 km/h
84,80,Max Speed 20 km/h
85,81,Max Speed 20 km/h
88,81,Max Speed 20 km/h
88,84,Max Speed 20 km/h
89,85,Max Speed 20 km/h
93,86,Max Speed 20 km/h
96,90,Max Speed 20 km/h
100,95,Max Speed 20 km/h
106,98,Max Speed 20 km/h
110,107,Max Speed 20 km/h
27,27,Max Speed 20 km/h
27,29,Max Speed 20 km/h
28,29,Max Speed 20 km/h
28,30,Max Speed 20 km/h
30,32,Max Speed 20 km/h
30,31,Max Speed 20 km/h
29,32,Max Speed 20 km/h
30,33,Max Speed 20 km/h
32,32,Max Speed 20 km/h
33,34,Max Speed 20 km/h
33,34,Max Speed 20 km/h
33,35,Max Speed 20 km/h
35,37,Max Speed 20 km/h
37,37,Max Speed 20 km/h
37,38,Max Speed 20 km/h
39,42,Max Speed 20 km/h
40,43,Max Speed 20 km/h
43,43,Max Speed 20 km/h
44,45,Max Speed 20 km/h
45,47,Max Speed 20 km/h
47,49,Max Speed 20 km/h
49,52,Max Speed 20 km/h
54,56,Max Speed 20 km/h
58,59,Max Speed 20 km/h
62,63,Max Speed 20 km/h
65,71,Max Speed 20 km/h
72,76,Max Speed 20 km/h
82,83,Max Speed 20 km/h
94,95,Max Speed 20 km/h
108,109,Max Speed 20 km/h
36,34,Max Speed 20 km/h
37,36,Max Speed 20 km/h
38,35,Max Speed 20 km/h
39,36,Max Speed 20 km/h
39,37,Max Speed 20 km/h
40,38,Max Speed 20 km/h
41,39,Max Speed 20 km/h
42,41,Max Speed 20 km/h
43,41,Max Speed 20 km/h
44,41,Max Speed 20 km/h
45,42,Max Speed 20 km/h
47,45,Max Speed 20 km/h
49,46,Max Speed 20 km/h
51,48,Max Speed 20 km/h
53,50,Max Speed 20 km/h
55,53,Max Speed 20 km/h
56,54,Max Speed 20 km/h
58,55,Max Speed 20 km/h
61,56,Max Speed 20 km/h
64,60,Max Speed 20 km/h
69,63,Max Speed 20 km/h
73,68,Max Speed 20 km/h
76,72,Max Speed 20 km/h
81,75,Max Speed 20 km/h
85,82,Max Speed 20 km/h
87,85,Max Speed 20 km/h
95,92,Max Speed 20 km/h
100,97,Max Speed 20 km/h
109,105,Max Speed 20 km/h
118,112,Max Speed 20 km/h
57,56,Max Speed 30 km/h
57,55,Max Speed 30 km/h
56,56,Max Speed 30 km/h
58,58,Max Speed 30 km/h
59,59,Max Speed 30 km/h
59,57,Max Speed 30 km/h
59,57,Max Speed 30 km/h
59,57,Max Speed 30 km/h
60,60,Max Speed 30 km/h
61,61,Max Speed 30 km/h
62,61,Max Speed 30 km/h
62,63,Max Speed 30 km/h
65,65,Max Speed 30 km/h
68,68,Max Speed 30 km/h
69,68,Max Speed 30 km/h
70,69,Max Speed 30 km/h
72,71,Max Speed 30 km/h
74,72,Max Speed 30 km/h
74,74,Max Speed 30 km/h
80,79,Max Speed 30 km/h
81,81,Max Speed 30 km/h
82,82,Max Speed 30 km/h
86,85,Max Speed 30 km/h
88,89,Max Speed 30 km/h
94,93,Max Speed 30 km/h
96,97,Max Speed 30 km/h
104,100,Max Speed 30 km/h
107,105,Max Speed 30 km/h
110,108,Max Speed 30 km/h
118,114,Max Speed 30 km/h
32,30,Max Speed 30 km/h
33,30,Max Speed 30 km/h
33,31,Max Speed 30 km/h
33,32,Max Speed 30 km/h
33,32,Max Speed 30 km/h
33,34,Max Speed 30 km/h
34,36,Max Speed 30 km/h
35,37,Max Speed 30 km/h
36,37,Max Speed 30 km/h
37,38,Max Speed 30 km/h
39,38,Max Speed 30 km/h
39,38,Max Speed 30 km/h
39,39,Max Speed 30 km/h
41,39,Max Speed 30 km/h
42,40,Max Speed 30 km/h
43,42,Max Speed 30 km/h
45,44,Max Speed 30 km/h
46,44,Max Speed 30 km/h
46,46,Max Speed 30 km/h
46,48,Max Speed 30 km/h
48,48,Max Speed 30 km/h
50,51,Max Speed 30 km/h
53,53,Max Speed 30 km/h
54,55,Max Speed 30 km/h
55,57,Max Speed 30 km/h
57,59,Max Speed 30 km/h
57,61,Max Speed 30 km/h
60,63,Max Speed 30 km/h
61,68,Max Speed 30 km/h
67,71,Max Speed 30 km/h
48,46,Max Speed 30 km/h
47,45,Max Speed 30 km/h
48,46,Max Speed 30 km/h
47,46,Max Speed 30 km/h
47,46,Max Speed 30 km/h
48,46,Max Speed 30 km/h
49,47,Max Speed 30 km/h
50,50,Max Speed 30 km/h
51,50,Max Speed 30 km/h
50,49,Max Speed 30 km/h
51,50,Max Speed 30 km/h
53,52,Max Speed 30 km/h
55,52,Max Speed 30 km/h
55,52,Max Speed 30 km/h
56,54,Max Speed 30 km/h
55,52,Max Speed 30 km/h
55,53,Max Speed 30 km/h
56,54,Max Speed 30 km/h
57,56,Max Speed 30 km/h
56,57,Max Speed 30 km/h
57,57,Max Speed 30 km/h
58,58,Max Speed 30 km/h
59,60,Max Speed 30 km/h
63,62,Max Speed 30 km/h
64,63,Max Speed 30 km/h
64,63,Max Speed 30 km/h
64,64,Max Speed 30 km/h
68,70,Max Speed 30 km/h
69,72,Max Speed 30 km/h
70,74,Max Speed 30 km/h
26,25,Max Speed 30 km/h
27,27,Max Speed 30 km/h
27,27,Max Speed 30 km/h
28,28,Max Speed 30 km/h
30,27,Max Speed 30 km/h
31,29,Max Speed 30 km/h
32,29,Max Speed 30 km/h
33,33,Max Speed 30 km/h
33,34,Max Speed 30 km/h
35,35,Max Speed 30 km/h
37,36,Max Speed 30 km/h
38,37,Max Speed 30 km/h
37,37,Max Speed 30 km/h
39,37,Max Speed 30 km/h
39,39,Max Speed 30 km/h
41,41,Max Speed 30 km/h
43,42,Max Speed 30 km/h
45,46,Max Speed 30 km/h
49,50,Max Speed 30 km/h
53,54,Max Speed 30 km/h
56,54,Max Speed 30 km/h
59,58,Max Speed 30 km/h
64,63,Max Speed 30 km/h
72,70,Max Speed 30 km/h
79,76,Max Speed 30 km/h
86,86,Max Speed 30 km/h
98,98,Max Speed 30 km/h
117,114,Max Speed 30 km/h
141,134,Max Speed 30 km/h
170,164,Max Speed 30 km/h
40,40,Max Speed 30 km/h
42,41,Max Speed 30 km/h
42,43,Max Speed 30 km/h
46,44,Max Speed 30 km/h
47,49,Max Speed 30 km/h
51,52,Max Speed 30 km/h
52,53,Max Speed 30 km/h
61,60,Max Speed 30 km/h
65,62,Max Speed 30 km/h
75,73,Max Speed 30 km/h
80,83,Max Speed 30 km/h
88,92,Max Speed 30 km/h
29,28,Max Speed 30 km/h
32,31,Max Speed 30 km/h
32,31,Max Speed 30 km/h
32,33,Max Speed 30 km/h
32,32,Max Speed 30 km/h
35,34,Max Speed 30 km/h
36,34,Max Speed 30 km/h
37,36,Max Speed 30 km/h
38,37,Max Speed 30 km/h
39,39,Max Speed 30 km/h
41,41,Max Speed 30 km/h
43,44,Max Speed 30 km/h
46,47,Max Speed 30 km/h
48,48,Max Speed 30 km/h
51,50,Max Speed 30 km/h
55,55,Max Speed 30 km/h
59,59,Max Speed 30 km/h
64,63,Max Speed 30 km/h
28,30,Max Speed 30 km/h
30,29,Max Speed 30 km/h
31,29,Max Speed 30 km/h
30,30,Max Speed 30 km/h
31,32,Max Speed 30 km/h
32,33,Max Speed 30 km/h
34,32,Max Speed 30 km/h
32,34,Max Speed 30 km/h
35,33,Max Speed 30 km/h
35,34,Max Speed 30 km/h
36,36,Max Speed 30 km/h
38,38,Max Speed 30 km/h
39,39,Max Speed 30 km/h
40,39,Max Speed 30 km/h
40,42,Max Speed 30 km/h
43,43,Max Speed 30 km/h
44,46,Max Speed 30 km/h
46,47,Max Speed 30 km/h
47,49,Max Speed 30 km/h
50,51,Max Speed 30 km/h
49,50,Max Speed 30 km/h
52,53,Max Speed 30 km/h
53,55,Max Speed 30 km/h
55,57,Max Speed 30 km/h
57,58,Max Speed 30 km/h
57,59,Max Speed 30 km/h
59,61,Max Speed 30 km/h
62,62,Max Speed 30 km/h
63,63,Max Speed 30 km/h
63,64,Max Speed 30 km/h
50,44,Max Speed 30 km/h
49,43,Max Speed 30 km/h
50,44,Max Speed 30 km/h
50,43,Max Speed 30 km/h
51,43,Max Speed 30 km/h
51,44,Max Speed 30 km/h
53,46,Max Speed 30 km/h
54,46,Max Speed 30 km/h
55,46,Max Speed 30 km/h
56,47,Max Speed 30 km/h
58,50,Max Speed 30 km/h
59,50,Max Speed 30 km/h
59,51,Max Speed 30 km/h
62,52,Max Speed 30 km/h
63,55,Max Speed 30 km/h
67,55,Max Speed 30 km/h
70,57,Max Speed 30 km/h
72,61,Max Speed 30 km/h
76,62,Max Speed 30 km/h
77,64,Max Speed 30 km/h
81,69,Max Speed 30 km/h
84,73,Max Speed 30 km/h
89,76,Max Speed 30 km/h
95,83,Max Speed 30 km/h
101,88,Max Speed 30 km/h
108,96,Max Speed 30 km/h
117,106,Max Speed 30 km/h
123,109,Max Speed 30 km/h
135,122,Max Speed 30 km/h
148,140,Max Speed 30 km/h
49,50,Max Speed 30 km/h
51,51,Max Speed 30 km/h
52,52,Max Speed 30 km/h
53,53,Max Speed 30 km/h
54,54,Max Speed 30 km/h
56,55,Max Speed 30 km/h
56,56,Max Speed 30 km/h
57,57,Max Speed 30 km/h
58,58,Max Speed 30 km/h
59,59,Max Speed 30 km/h
59,60,Max Speed 30 km/h
62,61,Max Speed 30 km/h
63,62,Max Speed 30 km/h
64,64,Max Speed 30 km/h
64,69,Max Speed 30 km/h
67,69,Max Speed 30 km/h
69,71,Max Speed 30 km/h
71,74,Max Speed 30 km/h
72,75,Max Speed 30 km/h
75,80,Max Speed 30 km/h
77,82,Max Speed 30 km/h
81,84,Max Speed 30 km/h
83,86,Max Speed 30 km/h
84,88,Max Speed 30 km/h
86,88,Max Speed 30 km/h
92,95,Max Speed 30 km/h
96,97,Max Speed 30 km/h
98,100,Max Speed 30 km/h
104,107,Max Speed 30 km/h
110,112,Max Speed 30 km/h
47,44,Max Speed 30 km/h
46,44,Max Speed 30 km/h
46,43,Max Speed 30 km/h
47,43,Max Speed 30 km/h
47,43,Max Speed 30 km/h
47,43,Max Speed 30 km/h
50,46,Max Speed 30 km/h
49,46,Max Speed 30 km/h
49,45,Max Speed 30 km/h
51,46,Max Speed 30 km/h
51,47,Max Speed 30 km/h
51,48,Max Speed 30 km/h
50,47,Max Speed 30 km/h
53,49,Max Speed 30 km/h
52,48,Max Speed 30 km/h
55,48,Max Speed 30 km/h
54,51,Max Speed 30 km/h
56,51,Max Speed 30 km/h
56,51,Max Speed 30 km/h
58,54,Max Speed 30 km/h
59,53,Max Speed 30 km/h
59,53,Max Speed 30 km/h
61,56,Max Speed 30 km/h
62,57,Max Speed 30 km/h
62,57,Max Speed 30 km/h
64,60,Max Speed 30 km/h
65,60,Max Speed 30 km/h
70,62,Max Speed 30 km/h
72,64,Max Speed 30 km/h
74,68,Max Speed 30 km/h
30,28,Max Speed 30 km/h
29,28,Max Speed 30 km/h
30,30,Max Speed 30 km/h
31,30,Max Speed 30 km/h
31,31,Max Speed 30 km/h
33,33,Max Speed 30 km/h
34,33,Max Speed 30 km/h
33,34,Max Speed 30 km/h
33,33,Max Speed 30 km/h
34,34,Max Speed 30 km/h
34,35,Max Speed 30 km/h
36,36,Max Speed 30 km/h
37,38,Max Speed 30 km/h
37,38,Max Speed 30 km/h
39,39,Max Speed 30 km/h
40,40,Max Speed 30 km/h
40,41,Max Speed 30 km/h
42,42,Max Speed 30 km/h
44,43,Max Speed 30 km/h
44,45,Max Speed 30 km/h
45,46,Max Speed 30 km/h
47,47,Max Speed 30 km/h
50,51,Max Speed 30 km/h
53,55,Max Speed 30 km/h
55,57,Max Speed 30 km/h
58,57,Max Speed 30 km/h
60,59,Max Speed 30 km/h
64,63,Max Speed 30 km/h
68,69,Max Speed 30 km/h
71,73,Max Speed 30 km/h
28,29,Max Speed 30 km/h
29,31,Max Speed 30 km/h
30,31,Max Speed 30 km/h
31,31,Max Speed 30 km/h
29,30,Max Speed 30 km/h
31,31,Max Speed 30 km/h
32,30,Max Speed 30 km/h
32,32,Max Speed 30 km/h
34,32,Max Speed 30 km/h
33,34,Max Speed 30 km/h
34,36,Max Speed 30 km/h
35,36,Max Speed 30 km/h
36,37,Max Speed 30 km/h
38,37,Max Speed 30 km/h
37,37,Max Speed 30 km/h
39,39,Max Speed 30 km/h
41,41,Max Speed 30 km/h
42,41,Max Speed 30 km/h
44,44,Max Speed 30 km/h
45,45,Max Speed 30 km/h
47,47,Max Speed 30 km/h
49,48,Max Speed 30 km/h
51,51,Max Speed 30 km/h
53,54,Max Speed 30 km/h
56,57,Max Speed 30 km/h
59,60,Max Speed 30 km/h
64,64,Max Speed 30 km/h
71,71,Max Speed 30 km/h
76,76,Max Speed 30 km/h
86,84,Max Speed 30 km/h
28,27,Max Speed 30 km/h
29,29,Max Speed 30 km/h
31,29,Max Speed 30 km/h
33,30,Max Speed 30 km/h
33,31,Max Speed 30 km/h
31,29,Max Speed 30 km/h
32,30,Max Speed 30 km/h
33,31,Max Speed 30 km/h
35,33,Max Speed 30 km/h
36,35,Max Speed 30 km/h
37,36,Max Speed 30 km/h
36,37,Max Speed 30 km/h
39,38,Max Speed 30 km/h
40,40,Max Speed 30 km/h
40,40,Max Speed 30 km/h
42,41,Max Speed 30 km/h
42,42,Max Speed 30 km/h
43,45,Max Speed 30 km/h
45,47,Max Speed 30 km/h
46,48,Max Speed 30 km/h
48,50,Max Speed 30 km/h
52,54,Max Speed 30 km/h
55,57,Max Speed 30 km/h
58,59,Max Speed 30 km/h
63,64,Max Speed 30 km/h
71,73,Max Speed 30 km/h
77,79,Max Speed 30 km/h
88,91,Max Speed 30 km/h
107,104,Max Speed 30 km/h
124,121,Max Speed 30 km/h
30,28,Max Speed 30 km/h
29,28,Max Speed 30 km/h
29,28,Max Speed 30 km/h
31,30,Max Speed 30 km/h
32,30,Max Speed 30 km/h
32,30,Max Speed 30 km/h
32,30,Max Speed 30 km/h
34,33,Max Speed 30 km/h
34,33,Max Speed 30 km/h
36,34,Max Speed 30 km/h
36,35,Max Speed 30 km/h
37,37,Max Speed 30 km/h
38,37,Max Speed 30 km/h
40,38,Max Speed 30 km/h
41,39,Max Speed 30 km/h
42,41,Max Speed 30 km/h
43,43,Max Speed 30 km/h
45,44,Max Speed 30 km/h
48,45,Max Speed 30 km/h
48,49,Max Speed 30 km/h
51,52,Max Speed 30 km/h
53,54,Max Speed 30 km/h
56,57,Max Speed 30 km/h
60,60,Max Speed 30 km/h
63,64,Max Speed 30 km/h
69,68,Max Speed 30 km/h
75,74,Max Speed 30 km/h
83,84,Max Speed 30 km/h
97,97,Max Speed 30 km/h
109,108,Max Speed 30 km/h
42,42,Max Speed 30 km/h
43,43,Max Speed 30 km/h
43,44,Max Speed 30 km/h
44,45,Max Speed 30 km/h
46,45,Max Speed 30 km/h
45,45,Max Speed 30 km/h
45,46,Max Speed 30 km/h
46,47,Max Speed 30 km/h
48,47,Max Speed 30 km/h
49,47,Max Speed 30 km/h
49,48,Max Speed 30 km/h
51,50,Max Speed 30 km/h
52,50,Max Speed 30 km/h
52,50,Max Speed 30 km/h
54,51,Max Speed 30 km/h
54,52,Max Speed 30 km/h
56,53,Max Speed 30 km/h
58,55,Max Speed 30 km/h
60,56,Max Speed 30 km/h
60,58,Max Speed 30 km/h
61,58,Max Speed 30 km/h
63,60,Max Speed 30 km/h
66,62,Max Speed 30 km/h
69,64,Max Speed 30 km/h
71,69,Max Speed 30 km/h
74,72,Max Speed 30 km/h
80,75,Max Speed 30 km/h
82,81,Max Speed 30 km/h
86,84,Max Speed 30 km/h
93,92,Max Speed 30 km/h
28,30,Max Speed 30 km/h
28,30,Max Speed 30 km/h
31,30,Max Speed 30 km/h
31,32,Max Speed 30 km/h
31,32,Max Speed 30 km/h
32,31,Max Speed 30 km/h
32,33,Max Speed 30 km/h
32,33,Max Speed 30 km/h
33,32,Max Speed 30 km/h
33,34,Max Speed 30 km/h
34,34,Max Speed 30 km/h
36,36,Max Speed 30 km/h
38,38,Max Speed 30 km/h
39,38,Max Speed 30 km/h
40,39,Max Speed 30 km/h
40,40,Max Speed 30 km/h
39,40,Max Speed 30 km/h
41,41,Max Speed 30 km/h
42,42,Max Speed 30 km/h
44,44,Max Speed 30 km/h
46,46,Max Speed 30 km/h
49,48,Max Speed 30 km/h
51,50,Max Speed 30 km/h
57,54,Max Speed 30 km/h
61,61,Max Speed 30 km/h
63,68,Max Speed 30 km/h
71,75,Max Speed 30 km/h
76,82,Max Speed 30 km/h
84,94,Max Speed 30 km/h
105,124,Max Speed 30 km/h
27,25,Max Speed 30 km/h
28,27,Max Speed 30 km/h
27,27,Max Speed 30 km/h
28,26,Max Speed 30 km/h
29,29,Max Speed 30 km/h
28,28,Max Speed 30 km/h
29,29,Max Speed 30 km/h
32,30,Max Speed 30 km/h
32,32,Max Speed 30 km/h
34,33,Max Speed 30 km/h
34,32,Max Speed 30 km/h
36,34,Max Speed 30 km/h
37,35,Max Speed 30 km/h
38,36,Max Speed 30 km/h
39,39,Max Speed 30 km/h
40,41,Max Speed 30 km/h
41,43,Max Speed 30 km/h
44,44,Max Speed 30 km/h
46,46,Max Speed 30 km/h
48,47,Max Speed 30 km/h
50,50,Max Speed 30 km/h
53,53,Max Speed 30 km/h
56,56,Max Speed 30 km/h
61,60,Max Speed 30 km/h
69,68,Max Speed 30 km/h
76,76,Max Speed 30 km/h
87,85,Max Speed 30 km/h
100,100,Max Speed 30 km/h
120,121,Max Speed 30 km/h
144,144,Max Speed 30 km/h
35,33,Max Speed 30 km/h
34,34,Max Speed 30 km/h
34,35,Max Speed 30 km/h
36,35,Max Speed 30 km/h
37,37,Max Speed 30 km/h
37,37,Max Speed 30 km/h
38,37,Max Speed 30 km/h
38,37,Max Speed 30 km/h
39,37,Max Speed 30 km/h
41,39,Max Speed 30 km/h
42,40,Max Speed 30 km/h
41,42,Max Speed 30 km/h
43,42,Max Speed 30 km/h
43,44,Max Speed 30 km/h
45,46,Max Speed 30 km/h
46,47,Max Speed 30 km/h
47,47,Max Speed 30 km/h
48,49,Max Speed 30 km/h
51,51,Max Speed 30 km/h
52,52,Max Speed 30 km/h
54,53,Max Speed 30 km/h
57,56,Max Speed 30 km/h
58,59,Max Speed 30 km/h
63,63,Max Speed 30 km/h
69,68,Max Speed 30 km/h
72,71,Max Speed 30 km/h
77,74,Max Speed 30 km/h
81,82,Max Speed 30 km/h
92,91,Max Speed 30 km/h
98,98,Max Speed 30 km/h
33,32,Max Speed 30 km/h
34,34,Max Speed 30 km/h
34,34,Max Speed 30 km/h
36,35,Max Speed 30 km/h
35,35,Max Speed 30 km/h
35,35,Max Speed 30 km/h
36,35,Max Speed 30 km/h
37,36,Max Speed 30 km/h
39,38,Max Speed 30 km/h
38,39,Max Speed 30 km/h
40,41,Max Speed 30 km/h
42,41,Max Speed 30 km/h
41,42,Max Speed 30 km/h
43,43,Max Speed 30 km/h
44,45,Max Speed 30 km/h
46,45,Max Speed 30 km/h
48,46,Max Speed 30 km/h
51,49,Max Speed 30 km/h
53,50,Max Speed 30 km/h
54,53,Max Speed 30 km/h
57,55,Max Speed 30 km/h
57,58,Max Speed 30 km/h
61,61,Max Speed 30 km/h
63,62,Max Speed 30 km/h
69,67,Max Speed 30 km/h
72,69,Max Speed 30 km/h
77,75,Max Speed 30 km/h
85,84,Max Speed 30 km/h
94,92,Max Speed 30 km/h
104,100,Max Speed 30 km/h
38,37,Max Speed 30 km/h
40,39,Max Speed 30 km/h
40,39,Max Speed 30 km/h
41,40,Max Speed 30 km/h
43,41,Max Speed 30 km/h
44,43,Max Speed 30 km/h
46,45,Max Speed 30 km/h
46,46,Max Speed 30 km/h
48,47,Max Speed 30 km/h
49,49,Max Speed 30 km/h
52,50,Max Speed 30 km/h
52,53,Max Speed 30 km/h
55,55,Max Speed 30 km/h
56,57,Max Speed 30 km/h
59,57,Max Speed 30 km/h
61,60,Max Speed 30 km/h
64,62,Max Speed 30 km/h
68,67,Max Speed 30 km/h
71,71,Max Speed 30 km/h
75,74,Max Speed 30 km/h
81,76,Max Speed 30 km/h
83,81,Max Speed 30 km/h
87,85,Max Speed 30 km/h
93,87,Max Speed 30 km/h
97,94,Max Speed 30 km/h
103,98,Max Speed 30 km/h
108,106,Max Speed 30 km/h
114,109,Max Speed 30 km/h
121,118,Max Speed 30 km/h
129,124,Max Speed 30 km/h
29,29,Max Speed 30 km/h
29,29,Max Speed 30 km/h
29,28,Max Speed 30 km/h
30,30,Max Speed 30 km/h
31,30,Max Speed 30 km/h
31,30,Max Speed 30 km/h
31,31,Max Speed 30 km/h
32,31,Max Speed 30 km/h
32,32,Max Speed 30 km/h
33,33,Max Speed 30 km/h
34,32,Max Speed 30 km/h
35,34,Max Speed 30 km/h
36,36,Max Speed 30 km/h
36,36,Max Speed 30 km/h
37,36,Max Speed 30 km/h
37,37,Max Speed 30 km/h
39,40,Max Speed 30 km/h
40,41,Max Speed 30 km/h
42,41,Max Speed 30 km/h
42,42,Max Speed 30 km/h
45,43,Max Speed 30 km/h
46,45,Max Speed 30 km/h
47,46,Max Speed 30 km/h
49,48,Max Speed 30 km/h
52,50,Max Speed 30 km/h
52,49,Max Speed 30 km/h
53,53,Max Speed 30 km/h
55,56,Max Speed 30 km/h
58,60,Max Speed 30 km/h
63,64,Max Speed 30 km/h
50,44,Max Speed 30 km/h
50,45,Max Speed 30 km/h
50,46,Max Speed 30 km/h
51,46,Max Speed 30 km/h
51,47,Max Speed 30 km/h
52,47,Max Speed 30 km/h
53,49,Max Speed 30 km/h
53,49,Max Speed 30 km/h
55,50,Max Speed 30 km/h
54,51,Max Speed 30 km/h
56,54,Max Speed 30 km/h
56,55,Max Speed 30 km/h
58,55,Max Speed 30 km/h
58,56,Max Speed 30 km/h
59,57,Max Speed 30 km/h
61,59,Max Speed 30 km/h
61,59,Max Speed 30 km/h
62,61,Max Speed 30 km/h
64,62,Max Speed 30 km/h
65,65,Max Speed 30 km/h
68,68,Max Speed 30 km/h
70,70,Max Speed 30 km/h
69,69,Max Speed 30 km/h
72,73,Max Speed 30 km/h
73,75,Max Speed 30 km/h
75,76,Max Speed 30 km/h
80,79,Max Speed 30 km/h
80,81,Max Speed 30 km/h
84,83,Max Speed 30 km/h
85,83,Max Speed 30 km/h
27,27,Max Speed 30 km/h
28,27,Max Speed 30 km/h
29,27,Max Speed 30 km/h
30,27,Max Speed 30 km/h
29,28,Max Speed 30 km/h
29,28,Max Speed 30 km/h
31,29,Max Speed 30 km/h
31,30,Max Speed 30 km/h
33,30,Max Speed 30 km/h
33,31,Max Speed 30 km/h
33,32,Max Speed 30 km/h
33,32,Max Speed 30 km/h
34,32,Max Speed 30 km/h
36,34,Max Speed 30 km/h
36,34,Max Speed 30 km/h
36,36,Max Speed 30 km/h
38,38,Max Speed 30 km/h
39,39,Max Speed 30 km/h
42,40,Max Speed 30 km/h
42,39,Max Speed 30 km/h
43,42,Max Speed 30 km/h
47,45,Max Speed 30 km/h
49,47,Max Speed 30 km/h
50,48,Max Speed 30 km/h
51,50,Max Speed 30 km/h
54,54,Max Speed 30 km/h
58,57,Max Speed 30 km/h
59,59,Max Speed 30 km/h
63,62,Max Speed 30 km/h
74,71,Max Speed 30 km/h
33,31,Max Speed 30 km/h
35,30,Max Speed 30 km/h
35,33,Max Speed 30 km/h
